"Game #","Date","Time","Type","Status","Home","Score","Away","Score","Venue","Rink"
"149151746","2025-10-26","10:00:00","Game","Scheduled","Ice Hawks","--","OC Hockey (1)","--","Ice in Paradise","NHL"
"149151844","2025-10-26","10:20:00","Game","Scheduled","Jr. Ducks (3)","--","Red Wings","--","Great Park Ice & Fivepoint Arena","1"
"149151708","2025-10-26","12:45:00","Game","Scheduled","Jr. Ducks (2)","--","Jr. Kings","--","Anaheim ICE","NHL"
"149151788","2025-10-26","18:00:00","Game","Scheduled","SDIA","--","Heat","--","SD Ice Arena","NHL"
"149151712","2025-11-02","07:00:00","Game","Scheduled","SDIA","--","Jr. Ducks (1)","--","SD Ice Arena","NHL"
"149151809","2025-11-02","07:40:00","Game","Scheduled","Saints","--","Avalanche","--","Kroc Center","NHL"
"149151833","2025-11-02","08:40:00","Game","Scheduled","Mavericks","--","Jr. Gulls","--","Carlsbad Ice Center","Main"
"149151719","2025-11-02","10:20:00","Game","Scheduled","Jr. Reign","--","Jr. Ducks (2)","--","Icetown Riverside","RV A"
"149151797","2025-11-02","10:20:00","Game","Scheduled","Surf","--","Empire HC","--","Ice Realm","MAIN"
"149151753","2025-11-02","10:20:00","Game","Scheduled","Wave","--","OC Hockey (2)","--","East West Ice","NHL"
"149151704","2025-11-09","07:00:00","Game","Scheduled","Avalanche","--","Jr. Kings","--","Lake Forest IP","1"
"149151714","2025-11-09","07:00:00","Game","Scheduled","Heat","--","Jr. Ducks (1)","--","Valley Center Ice","Glacier"
"149151722","2025-11-09","08:40:00","Game","Scheduled","Red Wings","--","Jr. Ducks (2)","--","Skating Edge Harbor City","main"
"149151822","2025-11-09","10:20:00","Game","Scheduled","Jr. Reign","--","Mavericks","--","Icetown Riverside","RV A"
"149151762","2025-11-09","11:45:00","Game","Scheduled","Ice Hawks","--","Saints","--","Ice in Paradise","NHL"
"149151726","2025-11-09","15:20:00","Game","Scheduled","OC Hockey (1)","--","Jr. Ducks (3)","--","YorbaLinda ICE","YLICE"
"149151831","2025-11-09","15:20:00","Game","Scheduled","Wave","--","Jr. Gulls","--","East West Ice","NHL"
"149151794","2025-11-09","18:00:00","Game","Scheduled","SDIA","--","Empire HC","--","SD Ice Arena","NHL"
"149151826","2025-11-16","07:00:00","Game","Scheduled","Empire HC","--","Mavericks","--","Ontario Center Ice","Main"
"149151757","2025-11-16","07:00:00","Game","Scheduled","Jr. Ducks (2)","--","OC Hockey (2)","--","Anaheim ICE","NHL"
"149151835","2025-11-16","09:00:00","Game","Scheduled","Jr. Ducks (1)","--","Jr. Gulls","--","Great Park Ice & Fivepoint Arena","1"
"149151777","2025-11-16","12:00:00","Game","Scheduled","OC Hockey (1)","--","Wave","--","YorbaLinda ICE","YLICE"
"149151818","2025-11-16","14:15:00","Game","Scheduled","Saints","--","Jr. Reign","--","Kroc Center","NHL"
"149151737","2025-11-16","18:30:00","Game","Scheduled","Avalanche","--","SDIA","--","Aliso Viejo Ice","1"
"149151801","2025-11-23","07:40:00","Game","Scheduled","Saints","--","Empire HC","--","UTC La Jolla","NHL"
"149151802","2025-11-23","08:40:00","Game","Scheduled","OC Hockey (2)","--","Avalanche","--","YorbaLinda ICE","YLICE"
"149151842","2025-11-23","08:40:00","Game","Scheduled","Surf","--","Red Wings","--","Ice Realm","MAIN"
"149151744","2025-11-23","10:10:00","Game","Scheduled","Jr. Gulls","--","OC Hockey (1)","--","Poway Ice Arena","Main"
"149151739","2025-11-23","10:20:00","Game","Scheduled","Wave","--","SDIA","--","East West Ice","NHL"
"149151721","2025-11-23","10:30:00","Game","Scheduled","Heat","--","Jr. Ducks (2)","--","Valley Center Ice","Glacier"
"149151824","2025-11-23","15:45:00","Game","Scheduled","Ice Hawks","--","Mavericks","--","Ice in Paradise","NHL"
"149151817","2025-11-23","18:00:00","Game","Scheduled","Jr. Kings","--","Jr. Reign","--","Paramount Ice Land","NHL"
"149151755","2025-12-07","07:00:00","Game","Scheduled","Empire HC","--","OC Hockey (2)","--","Ontario Center Ice","Main"
"149151774","2025-12-07","07:00:00","Game","Scheduled","Jr. Ducks (3)","--","Surf","--","Great Park Ice & Fivepoint Arena","1"
"149151765","2025-12-07","08:40:00","Game","Scheduled","Jr. Ducks (2)","--","Saints","--","Great Park Ice & Fivepoint Arena","1"
"149151849","2025-12-07","10:20:00","Game","Scheduled","Jr. Reign","--","Ice Hawks","--","Icetown Riverside","RV A"
"149151791","2025-12-07","10:30:00","Game","Scheduled","Jr. Kings","--","Heat","--","Paramount Ice Land","NHL"
"149151717","2025-12-07","12:30:00","Game","Scheduled","Jr. Ducks (3)","--","Jr. Ducks (1)","--","Lakewood ICE","A"
"149151803","2025-12-07","17:00:00","Game","Scheduled","OC Hockey (1)","--","Avalanche","--","YorbaLinda ICE","YLICE"
"149151805","2025-12-14","08:40:00","Game","Scheduled","Red Wings","--","Avalanche","--","Skating Edge Harbor City","main"
"149151718","2025-12-14","10:10:00","Game","Scheduled","Jr. Gulls","--","Jr. Ducks (2)","--","Poway Ice Arena","Main"
"149151732","2025-12-14","10:20:00","Game","Scheduled","Mavericks","--","Jr. Ducks (3)","--","Carlsbad Ice Center","Main"
"149151854","2025-12-14","10:30:00","Game","Scheduled","Empire HC","--","Ice Hawks","--","Ontario Center Ice","Main"
"149151785","2025-12-14","12:00:00","Game","Scheduled","OC Hockey (1)","--","Heat","--","YorbaLinda ICE","YLICE"
"149151770","2025-12-14","18:00:00","Game","Scheduled","SDIA","--","Surf","--","SD Ice Arena","NHL"
"149151734","2025-12-21","07:00:00","Game","Scheduled","Jr. Kings","--","Jr. Ducks (3)","--","Toyota Sport Center","NHL"
"149151843","2025-12-21","08:40:00","Game","Scheduled","Mavericks","--","Red Wings","--","Carlsbad Ice Center","Main"
"149151807","2025-12-21","10:30:00","Game","Scheduled","Empire HC","--","Avalanche","--","Ontario Center Ice","Main"
"149151713","2025-12-21","11:45:00","Game","Scheduled","Ice Hawks","--","Jr. Ducks (1)","--","Ice in Paradise","NHL"
"149151810","2025-12-21","12:00:00","Game","Scheduled","OC Hockey (2)","--","Jr. Reign","--","YorbaLinda ICE","YLICE"
"149151789","2025-12-21","12:00:00","Game","Scheduled","Wave","--","Heat","--","East West Ice","NHL"
"149151733","2026-01-11","08:40:00","Game","Scheduled","Jr. Ducks (2)","--","Jr. Ducks (3)","--","Great Park Ice & Fivepoint Arena","1"
"149151716","2026-01-11","08:40:00","Game","Scheduled","Mavericks","--","Jr. Ducks (1)","--","Carlsbad Ice Center","Main"
"149151812","2026-01-11","08:40:00","Game","Scheduled","SDIA","--","Jr. Reign","--","SD Ice Arena","NHL"
"149151786","2026-01-11","10:10:00","Game","Scheduled","Jr. Gulls","--","Heat","--","Poway Ice Arena","Main"
"149151763","2026-01-11","10:20:00","Game","Scheduled","Surf","--","Saints","--","Ice Realm","MAIN"
"149151837","2026-01-11","13:40:00","Game","Scheduled","OC Hockey (2)","--","Red Wings","--","YorbaLinda ICE","YLICE"
"149151750","2026-01-11","14:30:00","Game","Scheduled","Jr. Kings","--","OC Hockey (1)","--","Paramount Ice Land","NHL"
"149151851","2026-01-11","15:20:00","Game","Scheduled","Wave","--","Ice Hawks","--","East West Ice","NHL"
"149151798","2026-01-25","08:00:00","Game","Scheduled","Jr. Ducks (1)","--","Empire HC","--","Great Park Ice & Fivepoint Arena","2"
"149151790","2026-01-25","08:40:00","Game","Scheduled","Mavericks","--","Heat","--","Carlsbad Ice Center","Main"
"149151747","2026-01-25","08:40:00","Game","Scheduled","Red Wings","--","OC Hockey (1)","--","Skating Edge Harbor City","main"
"149151769","2026-01-25","10:20:00","Game","Scheduled","Jr. Reign","--","Surf","--","Icetown Riverside","RV A"
"149151759","2026-01-25","10:30:00","Game","Scheduled","OC Hockey (2)","--","Saints","--","KHS Ice Arena","A"
"149151729","2026-01-25","11:45:00","Game","Scheduled","Ice Hawks","--","Jr. Ducks (3)","--","Ice in Paradise","NHL"
"149151804","2026-01-25","12:00:00","Game","Scheduled","Wave","--","Avalanche","--","East West Ice","NHL"
"149151742","2026-01-25","15:30:00","Game","Scheduled","Jr. Kings","--","SDIA","--","Toyota Sport Center","OLY"
"149151772","2026-02-01","07:00:00","Game","Scheduled","Mavericks","--","Surf","--","Carlsbad Ice Center","Main"
"149151740","2026-02-01","08:40:00","Game","Scheduled","Jr. Ducks (3)","--","SDIA","--","Great Park Ice & Fivepoint Arena","4"
"149151781","2026-02-01","08:45:00","Game","Scheduled","Jr. Ducks (2)","--","Wave","--","Anaheim ICE","NHL"
"149151838","2026-02-01","10:10:00","Game","Scheduled","Jr. Gulls","--","Red Wings","--","Poway Ice Arena","Main"
